So,Vhex,Si_scale,Km_scale,c_scale,Fhex
0.01071172,3.74849504,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01091364,3.74885325,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01111556,3.74918805,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01131747,3.74950135,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01151939,3.74979592,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01172131,3.7500726,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01192323,3.75033301,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01212515,3.75057906,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01232707,3.75081157,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01252899,3.75103138,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01273091,3.75123981,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01293283,3.75143763,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01313475,3.75162587,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01333667,3.75180483,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01353859,3.75197518,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01374051,3.75213798,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01394242,3.75229316,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01414434,3.75244145,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01434626,3.7525837,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01454818,3.75271939,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0147501,3.7528495,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01495202,3.75297402,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01515394,3.75309396,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01535586,3.75320933,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01555778,3.75332,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0157597,3.75342676,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01596162,3.753529,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01616354,3.75362792,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01636545,3.75372308,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01656737,3.75381507,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01676929,3.75390373,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01697121,3.75398932,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01717313,3.75407195,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01737505,3.75415207,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01757697,3.75422948,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01777889,3.75430467,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01798081,3.75437685,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01818273,3.75444723,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01838465,3.75451528,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01858657,3.75458146,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01878848,3.75464562,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.0189904,3.75470774,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01919232,3.75476832,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01939424,3.75482685,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01959616,3.75488383,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.01979808,3.75493908,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.02,3.75499294,0.1778279410,0.1000000000,0.3978400000,0.0000037600
0.00001,0.01493136,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00021192,0.30422909,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00041384,0.57234849,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00061576,0.82187378,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00081768,1.05495974,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.0010196,1.27339169,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00122152,1.47866713,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00142343,1.67210073,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00162535,1.85474526,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00182727,2.02756358,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00202919,2.19137042,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00223111,2.34680727,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00243303,2.49448641,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00263495,2.63486424,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00283687,2.7682794,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00303879,2.8950011,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00324071,3.01506698,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00344263,3.12830915,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00364455,3.23420604,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00384646,3.33168226,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00404838,3.418799,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.0042503,3.49279022,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00445222,3.5510616,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00465414,3.59321275,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00485606,3.62197723,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00505798,3.64137527,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.0052599,3.65472164,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00546182,3.6642202,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00566374,3.67122686,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00586566,3.67656415,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00606758,3.68073849,0.3162277660,0.1000000000,0.4203900000,0.0000037140
0.00626949,3.68408732,0.3162277660,0.1000000000,0.4203900000,0.0000037140
